grupo,codigo,ref_oem,desc_e_aplicacoes,pagina
ALAVANCA,10923,7 647 562,Alavanca do garfo de embreagem Palio Palio Weekend Siena,5
ALAVANCA,10081A,5 947 511,Alavanca do trambulador (câmbio) (PEQUENA) Fiat 147/Europa Panorama/Oggi até 83 (4 marchas),5
ALAVANCA,10748B,,Alavanca do trambulador (câmbio) Tempra todos,5
ALAVANCA,11142,,Haste do freio de ACNAVALA Prêmio 87... Uno 85...,5
ALAVANCA,43240B,BE2E 7202,C Alavanca do câmbio Belina II 81... Corcel II 80... Del Rey 81... Pampa 82/83 04,5
ALAVANCA,10981,7 608 610,Alavanca do trambulador (câmbio) Elba/Fiorino Prêmio/Uno 85/87 (5 marchas),5
ALAVANCA,10081B,7 507 393,Alavanca do trambulador (câmbio) Fiat 147/Europa Panorama/Oggi (5 marchas),5
ALAVANCA,10748C,,Alavanca do trambulador (câmbio) Tempra 96... FORD mão,5
ALAVANCA,43240C,,83PU 7202 C Alavanca do câmbio Belina II 81... Corcel II 80... Del Rey 81... Pampa 84/95,5
ALAVANCA,10981A,7 685 176,Alavanca do trambulador (câmbio) Elba/Prêmio Uno 87/91 Mille 91... Fiorino 88/91,5
ALAVANCA,10081D,,Alavanca do trambulador (câmbio) Fiat 147/Europa Panorama/Oggi 84... 76/80 (4 marchas),5
ALAVANCA,10981B,,Alavanca do trambulador (câmbio) Uno todos,5
ALAVANCA,43238,BD1M 7202,B Alavanca do câmbio Belina I/Corcel até 77,5
ALAVANCA,43240D,BE2M 7202,A Alavanca do câmbio Del Rey Pampa,5
ALAVANCA,10014,5 954 106,Alavanca acionadora trambulador Fiat 147 Todos Europa Panorama Oggi Todos até,5
ALAVANCA,10081F,,Alavanca do trambulador (câmbio) Fiat 147 Europa Panorama Oggi 81/83 Spazio 81/83 (4 marchas),5
ALAVANCA,10981C,,Alavanca do trambulador (câmbio) Uno 97...,5
ALAVANCA,43238A,BD8M 7202,A Alavanca do câmbio I Belina I 78/80 Corcel 78/80,5
ALAVANCA,43426,,83WT 7K 378 A Alavanca do câmbio Escort até 86,5
ALAVANCA,10360,5 947 514,Alavanca acionadora trambulador Fiat 147 Todos Europa Panorama 80 Oggi 81,5
ALAVANCA,11361,,Alavanca do trambulador (câmbio) Palio Palio Weekend Siena tds até 99,5
ALAVANCA,10981D,,Alavanca do trambulador (câmbio) Uno tds,5
ALAVANCA,43240,BD9M 7202,D Alavanca do câmbio Belina II 81... Corcel II 81 (5 marchas),5
ALAVANCA,43426A,,Alavanca do câmbio Escort 87... (11),5
ALAVANCA,10081,97 600 538,Alavanca do trambulador (câmbio) (GRANDE) Fiat 147/Europa Panorama/Oggi até 83 (4 marchas),5
ALAVANCA,10748A,,Alavanca do trambulador (câmbio) Tempra 92/95,5
ALAVANCA,10981E,,Alavanca do trambulador (câmbio) Uno 97...,5
ALAVANCA,43240A,,Alavanca do câmbio Belina II 81... Corcel II 80... Del Rey Pampa,5
ALAVANCA,43426B,,83WT 7217 C Alavanca do câmbio Escort 87... (5 marchas),5
ALAVANCA,43426C,,86AU 7217 C Alavanca do câmbio Escort 87... (5 marchas),6
ALAVANCA,43940,,96FB 2780 AC Alavanca do freio de mão (c/manopla) Courier Jul-97/Abr-09 Ecosport Jan/Nov-03 Fiesta Abr-96/Jun-06 KA Ago-97/Dez-07 KA Jan-08/Mar-09,6
ALAVANCA,43176B,,95AB 2780 AG Alavanca do freio de mão (c/manopla) Escort SW/Zetec Fiesta 96/05 KA 97...,6
ALAVANCA,43144,,1S71 2780 R Alavanca do freio de mão Mondeo Abr-01/Jun-03,6
ALAVANCA,43729B,BD9M 7302,D Alavanca de seleção da transmissão trambulador (5m) Belina 78... Corcel 78... Del Rey 80...,6
ALAVANCA,43426D,,Alavanca do câmbio Escort 87... (5 marchas),6
ALAVANCA,43940A,,7S55 2780 AC Alavanca do freio de mão Courier Abr-93 KA Abr-09...,6
ALAVANCA,43133,AE8Z 2780,A Alavanca do freio de mão 97... New Fiesta Abr-13... KA 13,6
ALAVANCA,43158,,Alavanca do freio de mão F1000 tds F4000 tds até 92,6
ALAVANCA,42238,BD1M 7202,A Alavanca do do trambulador (câmbio) Belina até 77 Corcel até 77 (4 marchas) (11),6
ALAVANCA,43572,,84PU 7202 C Alavanca do câmbio Pampa 4x4 82...,6
ALAVANCA,43123,,6N15 2780 BD Alavanca do freio de mão Ecosport Dez-03/Jun-12 Fiesta Dez-03,6
ALAVANCA,43143,,98AG 2780 AS Alavanca do freio de mão Focus Jul-00/Fev-04 (exceto Guia),6
ALAVANCA,22008,,ZBC 711 301 Alavanca do freio de mão Royale até 98 Versailles até 98 Passat - Todos Quantum Santana até 98 42238 A BD8M 7202 A Alavanca do trambulador (câmbio) Belina II/Corcel 78/81 (4 marchas),6
ALAVANCA,43728,,81AB 7 515 AA Alavanca da embreagem Escort/Verona até 92,6
ALAVANCA,43123A,CN15 2780,AC Alavanca do freio de mão Ecosport Jul-12...,6
ALAVANCA,43143A,545 2780,AA Alavanca do freio de mão Focus Mar-04/Nov-09 (exceto Guia),6
ALAVANCA,22008A,,Alavanca do freio de mão (c/manopla) Royale até 98 Versailles até 98 Passat - Todos Quantum Santana até 98 42238 B 83PU 7202 C Alavanca do trambulador (câmbio) II Belina II/Corcel 81... (4 marchas) Del Rey - Todos (4 marchas),6
ALAVANCA,44814,,81AB 2780 B Alavanca do freio de mão (c/manopla) Belina II 78... Corcel II 78... Del Rey 89...,6
ALAVANCA,43176,547 711 301,A Alavanca do freio de mão Escort Out-83/96 Escort Hobby 93/94 Verona 85/96,6
ALAVANCA,43143B,,98AG 2780 BJ Alavanca do freio de mão Focus Guia Jul-00/Fev-04,6
ALAVANCA,43729,BD1M 7302,A Alavanca de seleção da transmissão trambulador Belina até 77 Corcel até 77,6
ALAVANCA,43327,,Alavanca do trambulador (câmbio) II Corcel 82/83 Del Rey 82...,6
ALAVANCA,44814A,,81AB 2780 B Alavanca do freio de mão (c/manopla) Belina II 78... Corcel II 78... Del Rey 89...,6
ALAVANCA,43176A,547 711 301,A Alavanca do freio de mão (c/manopla) Escort Out-83/96 Escort Hobby 93/94 Verona 85/96,6
ALAVANCA,43143C,,98AG 2780 BL Alavanca do freio de mão Focus guia Mar-04/Ago-08,6
ALAVANCA,43729A,,BEOM 7302 A Alavanca de seleção do da transmissão trambulador (4m) Belina 78... Corcel 78... Del Rey 80...,6
ALAVANCA,43327A,,Alavanca do trambulador (câmbio) Corcel 82/83 Del Rey 82...,6
ALAVANCA,43327C,BE2M 7202,C Alavanca do trambulador (câmbio) Del Rey tds (5 marchas),7
ALAVANCA,33279,90 632 870,Alavanca do câmbio Caravan/Opala (4 marchas) Chevette/Chevy Junior/Marajó (5 marchas),7
ALAVANCA,33518,90 447 118,Alavanca do freio de mão (c/manopla) Astra imp. até Calibra até 96 Vectra 95/96,7
ALAVANCA,33960,95 957 508,Alavanca do freio de mão (c/manopla) ACNAVALA Cobalt,7
ALAVANCA,33520,94 728 857,Alavanca do freio de mão (s/base) Meriva 03... 06,7
ALAVANCA,43168,543 711 11,Alavanca do trambulador (câmbio) Escort até 92 Escort Hobby até 96 Verona até 92 33279 A 90 632 871 Alavanca do câmbio Todos Caravan/Opala (5 marchas) 500 Todos,7
ALAVANCA,33518A,93 339 498,Alavanca do freio de mão (c/manopla) 95 Astra 99...,7
ALAVANCA,33512A,93 279 517,Alavanca do freio de mão (c/manopla) Corsa Pick-Up 95/04,7
ALAVANCA,33520A,93 306 293,Alavanca do freio de mão (c/base) Meriva 03...,7
ALAVANCA,43168A,,Alavanca do trambulador (câmbio) Escort até 92 Escort Hobby até 96 Verona até 92 33278 94 638 146 Alavanca do câmbio Chevette Chevy 500/Marajó Todos (4 marchas),7
ALAVANCA,33897,94 614 768,Alavanca do freio de mão (c/manopla) Caravan tds Opala tds,7
ALAVANCA,33512D,93 279 517,Alavanca do freio de mão (c/capa e manopla) Corsa Pick-Up 95/04,7
ALAVANCA,33516,93 393 085,Alavanca do freio de mão (c/manopla) Montana 04/10,7
ALAVANCA,22298,811 711 117,B Alavanca do trambulador (câmbio) Royale tds Versailles tds,7
ALAVANCA,33287,52 268 640,Alavanca do câmbio Ipanema 89... Kadett 89... Monza 93...,7
ALAVANCA,33512,93 381 516,Alavanca do freio de mão (c/manopla) Celta 01... Corsa até 01 (exceto Pick-Up) Prisma 01... Tigra tds 33512 B 24 407 637 Alavanca do freio de mão (c/manopla) Corsa 02...,7
ALAVANCA,33516A,94 761 781,Alavanca do freio de mão (c/manopla) Montana 11...,7
ALAVANCA,33286,52 253 135,Alavanca do câmbio Monza até 92,7
ALAVANCA,33512C,93 381 516,Alavanca do freio de mão (c/capa e manopla) Celta 01... Corsa até 01 (exc. Prisma 01... Tigra tds,7
ALAVANCA,33963,52 016 205,Alavanca do freio de mão (c/manopla) Cruze,7
ALAVANCA,33517,93 399 499,Alavanca do freio de mão (c/manopla) Vectra 97/05 (11),7
ALAVANCA,33681,93 284 246,Alavanca do câmbio Astra 99... Celta 01... Corsa 02... Vectra 97...,7
ALAVANCA,33903,94 728 857,Alavanca do freio de mão (c/manopla) Agile 09...,7
ALAVANCA,33888,94 617 607,Alavanca do freio de mão (c/manopla) Chevette 73... Chevy 78... Pick-Up) Junior 81... Marajó tds,7
ALAVANCA,33513,52 269 245,Alavanca do freio de mão (c/manopla) Ipanema 89... Kadett 89... Monza 82... (s/freio disco tras.),7
ALAVANCA,33519,,Alavanca do freio de mão (c/manopla) Zafira até 04,7
ALAVANCA,33519A,93 317 330,Alavanca do freio de mão (c/manopla) Zafira 05... HYUNDAI PEUGEOT,8
ALAVANCA,48086,8 200 734 397,Alavanca do freio de mão Symbol (c/disco freio tras.),8
ALAVANCA,20597,113 721 509 1,Alavanca do acelerador Brasilia Todos Sedan Todos Variant Todos,8
ALAVANCA,33966,,Alavanca do freio de mão (c/manopla) S10 - 02...,8
ALAVANCA,31020,,OSA 464 410 A Alavanca do freio de mão HR 13...,8
ALAVANCA,47012,47 0162,Alavanca do freio de mão 206 - 98... 206 Escapade 206 SW tds 207 tds 48086 A 8 200 964 758 Alavanca do freio de mão Symbol (c/tambor freio,8
ALAVANCA,20840,211 721 631 1,Alavanca do acelerador Kombi 78... (11),8
ALAVANCA,33563,93 347 172,Alavanca de seleção do trambulador Agile 09.../Astra Celta/Zafira 01... Corsa Classic 02... Montana 04... Prisma 07.../Vectra KIA MOTORS RENAULT SEAT,8
ALAVANCA,20991,811 141 719,Alavanca do cabo de embreagem Gol/Saveiro tds (refrigerados ar),8
ALAVANCA,33958,24 578 948,Alavanca de seleção do trambulador 99... Cobalt Onix Spin (trans. mecânica) 97... 31020 OSA 464 410 A Alavanca do freio de mão Besta GS tds 98/05,8
ALAVANCA,48047,8 200 195 571,Alavanca do freio de mão Clio 99...,8
ALAVANCA,20092,,6NO 711 303 C Alavanca do freio de mão Golf até Jul-98 Cordoba Abr-95/Set-99 Ibiza Abr-95/Set-99 Inca Nov-98/Dez-03 Polo Classic 96/02 Van Caddy Nov-98/Dez-03,8
ALAVANCA,20991B,305 141 719,Alavanca do cabo deembreagem Gol/Parati/Saveiro (exceto GTI),8
ALAVANCA,48019,,Alavanca do freio de mão Logan 07... Sandero 07...,8
ALAVANCA,20092A,,Alavanca do freio de mão Cordoba 95/99 Inca 98...,8
ALAVANCA,20839,211 721 274,Alavanca do cabo de embreagem Kombi 78...,8
ALAVANCA,28005,,Alavanca do freio de mão (c/manopla) Civic 01/06,8
ALAVANCA,46007,360,10A Z60A Alavanca do freio de mão Livina,8
ALAVANCA,48265,8 203 321 029,Alavanca do freio de mão Megane 03/10 VOLKSWAGEN,8
ALAVANCA,20990,,ZBA 141 719 Alavanca do cabo de embreagem Passat/Quantum Santana (exceto GTS),8
ALAVANCA,20991A,141 141 719,Alavanca do cabo de embreagem Passat GTS Quantum Santana 2.0,9
ALAVANCA,20984D,305 311 251 2,Alavanca do câmbio Gol/Passat/Parati Quantum/Saveiro Santana/Voyage (5 marchas),9
ALAVANCA,20982,321 711 121,Alavanca do câmbio Passat até Set-76,9
ALAVANCA,22033A,547 711 301,A Alavanca do freio de mão (c/manopla) ACNAVALA Apollo 90... Logus 93... Pointer 93...,9
ALAVANCA,22007A,305 711 301 3,Alavanca do freio de mão (c/manopla) Gol/Voyage/Parati Nov-82/Jun-96 Saveiro Jul-82/Out-97 08,9
ALAVANCA,20981,102 711 121,Alavanca do câmbio (flutuante) Brasilia,9
ALAVANCA,20978,211 711 121 4,Alavanca do câmbio Kombi 1500,9
ALAVANCA,20982A,305 711 117,Alavanca do câmbio Passat Out-76... (4 marchas),9
ALAVANCA,22010,113 711 305 1,Alavanca do freio de mão Brasilia Todos Sedan Todos Variant Todos,9
ALAVANCA,22009,377 711 299,A Alavanca do freio de mão Gol/Parati/Saveiro Mai-94/Out-99,9
ALAVANCA,20984,305 711 117,A Alavanca do câmbio Gol até Out-83 (4 marchas),9
ALAVANCA,20979,211 711 121 2,Alavanca do câmbio Kombi Clipper até 82,9
ALAVANCA,20978A,111 711 121,F Alavanca do câmbio (340mm) Sedan 1200,9
ALAVANCA,22010A,113 711 305 2,Alavanca do freio de mão (c/manopla) Brasilia Todos Sedan Todos Variant Todos,9
ALAVANCA,22009A,,5XO 711 303 B Alavanca do freio de mão (c/manopla e botão cromado) Gol/Parati/Saveiro Mai-94/Out-08,9
ALAVANCA,20984A,305 711 119 2,Alavanca do câmbio Gol (à ar) Nov-83,9
ALAVANCA,20979A,211 711 121 1,Alavanca do câmbio Kombi Clipper Set-82/95,9
ALAVANCA,20978B,113 711 121 2,Alavanca do câmbio (260mm) Sedan 1300/1500 1600,9
ALAVANCA,22010B,113 711 305 1,Alavanca do freio de mão (cromada) Brasilia Todos Sedan Todos Variant Todos,9
ALAVANCA,22009B,307 711 307 3,Alavanca do freio de mão Gol/Parati/Saveiro G3 nov-99...,9
ALAVANCA,20984B,811 711 117,A Alavanca do câmbio Gol/Parati/Passat Quantum/Saveiro Santana/Voyage (5 marchas),9
ALAVANCA,20979B,237 711 121 1,Alavanca do câmbio Kombi Nov-96/97,9
ALAVANCA,20980,131 711 121 1,Alavanca do câmbio Variant TL,9
ALAVANCA,22543,,6QO 711 303 R0 Alavanca do freio de mão Crossfox 04... Fox 03... Polo 02... Polo Sedan 02... Spacefox 08...,9
ALAVANCA,22009C,,5XO 711 303 C Alavanca do freio de mão (cromada) Gol/Parati/Saveiro G3 jun-02... (11),9
ALAVANCA,20984C,305 311 251 5,Alavanca do câmbio Gol/Passat (4 marchas),9
ALAVANCA,20979C,231 711 121 1,Alavanca do câmbio Kombi 98...,9
ALAVANCA,22033,547 711 301,A Alavanca do freio de mão Apollo 90... Logus 93... Pointer 93...,9
ALAVANCA,22007,305 711 303 3,Alavanca do freio de mão Gol/Voyage/Parati Nov-82/Jun-96 Saveiro Jul-82/Out-97,9
ALAVANCA,22009D,,5XO 711 303 C Alavanca do freio de mão (c/manopla e botão cromado) Gol/Parati/Saveiro G3 jun-02...,9
ALAVANCA,22009E,5,UO 711 303 B Alavanca do freio de mão Gol G5 08... Voyage 09...,10
ALAVANCA,22302,327 711 299 2,Alavanca do freio de mão Quantum/Santana fev-98...,10
ALAVANCA,21166,113 311 541 2,Alavanca do trambulador (longo) Brasilia Sedan Variant,10
ALAVANCA,22009F,,5UO 711 303 B Alavanca do freio de mão (c/manopla) Gol G5 08... Voyage 09...,10
ALAVANCA,22010C,,Alavanca do freio de mão Sedan tds,10
ALAVANCA,21166A,113 311 541 1,Alavanca do trambulador (ponta reta) Brasilia Sedan Variant (11),10
ALAVANCA,20092,,6NO 711 303 C Alavanca do freio de mão Cordoba Abr-95/Set-99 Golf até Jul-98 Ibiza Abr-95/Set-99 Inca Nov-98/Dez-03 Polo Classic 96/02 Van Caddy Nov-98/Dez-03 20992 113 141 719 1 Alavanca do garfo de embreagem Brasilia/Sedan Variant,10
ALAVANCA,21166B,803 311 541 1,Alavanca do trambulador (ponta torta) Brasilia Sedan Variant,10
ALAVANCA,22639,,Alavanca do freio de mão Kombi tds,10
ALAVANCA,20597,113 721 509 1,Alavanca do pedal do acelerador Brasilia/Sedan Variant tds,10
ALAVANCA,21170,811 311 541,Alavanca do trambulador Gol,10
ALAVANCA,22008,,ZBC 711 305 Alavanca do freio de mão Passat tds Quantum/Santana até 98 Royale até 98 Versailles até 98 20093 305 721 541 1 Alavanca do pedal do acelerador Gol/Parati/Saveiro Voyage/Parati até 86,10
ALAVANCA,21168,211 311 541 2,Alavanca do trambulador Kombi até 75,10
ALAVANCA,22008A,,ZBC 711 305 A Alavanca do freio de mão (c/manopla) Passat tds Quantum/Santana até 98 Royale até 98 Versailles até 98 20093 A 305 721 539 1 Alavanca do pedal do acelerador Gol/Parati/Saveiro Voyage/Parati,10
ALAVANCA,21168A,211 311 541 1,Alavanca do trambulador Kombi 76...,10
ASSENTO DE MOLAS,11324,51 715 993,Assento das molas helicoidais dianteira Stilo 03... FO 3015 84FD 5A 318 AA Assento das molas helicoidais dianteira Escort até 92 Escort Hobby tds Verona até 92,12
ASSENTO DE MOLAS,33216,93 394 072,Assento limitador superior amortecedor dianteiro Corsa 02... Meriva 03... Montana 04...,12
ASSENTO DE MOLAS,20039,IJ0 412 319,C Assento superior do amortecedor dianteiro A3 FI 290 7 775 907 Assento das molas helicoidais dianteira Brava 99... Marea 99... Marea Weekend FORD,12
ASSENTO DE MOLAS,33250,,Assento inferior coxim amortecedor dianteiro Cruze 12...,12
ASSENTO DE MOLAS,25098,,5031-F2 Assento das molas helicoidais dianteira C3 - 03... C4 - 06... FI 204 46 453 378 Assento das molas helicoidais dianteira Doblò 02/06 Palio/Palio Weekend Siena 96... Strada 99...,12
ASSENTO DE MOLAS,43354,,Assento superior do amortecedor dianteiro Courier 97... Fiesta 96... KA 97... GENERAL MOTORS,12
ASSENTO DE MOLAS,33976,90 184 286,do Assento do defletor do amortecedor dianteiro Ipanema 89... Kadett 89...,12
ASSENTO DE MOLAS,43355,,Assento superior do amortecedor traseiro Courier 97... Fiesta 96... KA 97... GM 2156 90 170 695 Assento c/rolamento das molas helicoidais dianteira Agile 09... Corsa/Corsa Pick-Up até mai-98,12
ASSENTO DE MOLAS,33684,90 251 921,Assento superior do amortecedor dianteiro Ômega até 98 Suprema até 98 Vectra até 96... Vectra GT/GTX,12
ASSENTO DE MOLAS,33976,,Assento do defletor do amortecedor dianteiro Espero tds FI 165 7 710 027 Assento das molas helicoidais dianteira Tempra 92... (exceto SW),12
ASSENTO DE MOLAS,43416,,86AU 3K 047 AA Assento superior do amortecedor dianteiro Escort até 92 Escort Hobby tds Verona até 92,12
ASSENTO DE MOLAS,33996,90 468 568,Assento limitador superior amortecedor dianteiro Astra 99... Vectra 97... Zafira 01... GM 2092 90 233 655 Assento das molas helicoidais dianteira Ômega até 98 Suprema até 98 07...,12
ASSENTO DE MOLAS,21713B,,5XO 412 319 Assento superior do amortecedor dianteiro Gol G3 - 01... Parati G3 - 01... Saveiro G3 - 01... VW 1079 547 412 113 SALOM Assento das molas helicoidais dianteira ED Logus 93... Pointer 93... OTNESSA 12,13
ASSENTO DE MOLAS,29040,54627 07000,Assento superior de proteção do amortecedor dianteiro HB20 - 12...,13
ASSENTO DE MOLAS,43416,,86AU 3K 047 AA Assento superior do amortecedor dianteiro Apollo 90... VW 1048 ZBA 412 113 Assento das molas helicoidais dianteira Gol/Parati/Saveiro Voyage até 94 Passat 94...,13
ASSENTO DE MOLAS,20091,321 412 319,Assento superior do amortecedor dianteiro Quantum 82... Santana 82...,13
ASSENTO DE MOLAS,48033,,Assento das molas helicoidais dianteira Clio 99...,13
ASSENTO DE MOLAS,20039,IJ0 412 319,C Assento superior do amortecedor dianteiro Bora New Beetle Passat Alemão,13
ASSENTO DE MOLAS,21022B,,5ZO 512 341 Assento superior do amortecedor dianteiro Gol G5/6 - 08... Fox 08... 95... Saveiro 08... Voyage 08... GM,13
ASSENTO DE MOLAS,21713,,ZBA 412 319 Assento superior do amortecedor dianteiro Gol/Parati/Saveiro Voyage até 94... Passat 94... 97... VW 1141 191 412 641 Assento das molas helicoidais dianteira (grande) Golf GL/GLX/GTI até 98 (importado) (11),13
ASSENTO DE MOLAS,58036,48682,0D 070 Assento limitador superior amortecedor dianteiro Etios 12...,13
ASSENTO DE MOLAS,21713A,377 412 319,A Assento superior do amortecedor dianteiro Gol 95/01 Parati 95/01 Saveiro 95/01 VW 1142 357 412 341 A Assento das molas helicoidais dianteira (pequeno) Golf GL/GLX/GLM GTI até 98 (imp.) Golf G3 até 00,13
BARRA ESTABILIZADORA,10752B,7 588 232,Barra estabilizadora suspensão dianteira (22mm) Elba S/CS/CSL Uno 85/89,14
BARRA ESTABILIZADORA,10753A,46 450 459,Barra estabilizadora suspensão dianteira (20mm) Palio/Siena 16v até 00,14
BARRA ESTABILIZADORA,11067,51 712 732,Barra estabilizadora suspensão dianteira Stilo,14
BARRA ESTABILIZADORA,43688B,542 411 309,A Barra estabilizadora suspensão dianteira (22mm) Escort Hobby,14
BARRA ESTABILIZADORA,25035,,Barra estabilizadora suspensão dianteira (19mm) Xsara 1.8 16v,14
BARRA ESTABILIZADORA,10443,7 534 639,Barra estabilizadora suspensão dianteira (18mm) 86/90 Fiat 147 tds Europa Panorama Oggi/Spazio,14
BARRA ESTABILIZADORA,10753B,46 470 775,Barra estabilizadora suspensão dianteira Palio Weekend FORD,14
BARRA ESTABILIZADORA,43688C,547 311 309,A Barra estabilizadora suspensão dianteira (16mm) Escort 93/96 Escort 1.8 16v Zetec 97... Verona 93/96 (11),14
BARRA ESTABILIZADORA,25035A,,Barra estabilizadora suspensão dianteira (20mm) Xsara 2.0 16v,14
BARRA ESTABILIZADORA,10752D,7 624 533,Barra estabilizadora suspensão dianteira (23mm) Fiorino Pick-Up,14
BARRA ESTABILIZADORA,10754,7 774 252,Barra estabilizadora suspensão dianteira tds Tempra tds (exceto SW),14
BARRA ESTABILIZADORA,44208,,96FB 5494 AB Barra estabilizadora suspensão dianteira (16mm) Courier 1.3/1.4 Fiesta 96/00,14
BARRA ESTABILIZADORA,22299A,855 411 309,A Barra estabilizadora suspensão dianteira (22mm) Versailles/Royale 91...,14
BARRA ESTABILIZADORA,10752E,7 692 429,Barra estabilizadora suspensão dianteira (19mm) 88/90 Fiorino Pick-Up,14
BARRA ESTABILIZADORA,10754A,7 760 366,Barra estabilizadora suspensão dianteira Tempra SW Tipo tds,14
BARRA ESTABILIZADORA,44208A,,96FB 5494 DB Barra estabilizadora suspensão dianteira (15mm) 97... Courier 1.6 97... Fiesta 1.6 96... GENERAL MOTORS,14
BARRA ESTABILIZADORA,10755,46 537 401,Barra estabilizadora suspensão dianteira Brava Marea Marea Weekend,14
BARRA ESTABILIZADORA,10752F,7 757 875,Barra estabilizadora suspensão dianteira (17mm) 90/93 Fiorino Pick-Up,14
BARRA ESTABILIZADORA,10752,7 534 639,Barra estabilizadora suspensão dianteira (19mm) Uno S/CS/R 88/90,14
BARRA ESTABILIZADORA,43688,542 411 309,Barra estabilizadora suspensão dianteira (22mm) Escort 84/86 Escort 90/92 Verona 90/92,14
BARRA ESTABILIZADORA,33862A,90 495 050,Barra estabilizadora suspensão dianteira (20mm) Astra imp até 95 Calibra até 96 Vectra até 96,14
BARRA ESTABILIZADORA,10752A,7 588 233,Barra estabilizadora suspensão dianteira (20mm) Elba 85/89 Premio S/CS/CLS/SL 85/90 Uno SX/CS/R 85/89,14
BARRA ESTABILIZADORA,10753,46 466 278,Barra estabilizadora suspensão dianteira (19mm) 94... Palio/Siena 1.0/1.5 8v tds,14
BARRA ESTABILIZADORA,10752C,7 692 476,Barra estabilizadora suspensão dianteira (15mm) Uno S/CS 90… Uno Mille 91...,14
BARRA ESTABILIZADORA,43688A,,86AU 5494 A Barra estabilizadora suspensão dianteira (20mm) Escort 87/89 Verona 87/89,14
BARRA ESTABILIZADORA,33862B,93 280 401,Barra estabilizadora suspensão dianteira (20mm) Astra 99… Vectra 06…,14
ARODAZILIBATSE,33866B,93 285 511,Barra estabilizadora suspensão dianteira (18mm) Celta 01... Corsa 99... Prisma 07…,15
ARODAZILIBATSE,33981,90 334 909,Barra estabilizadora suspensão traseira Omega até 93 (exceto Suprema),15
ARODAZILIBATSE,47029,5081,C7 Barra estabilizadora suspensão dianteira (18mm) 206 - 1.0 tds,15
ARODAZILIBATSE,21207,305 411 309 1,ARODAZILIBATSE Barra estabilizadora suspensão dianteira (22mm) Gol/Saveiro a,15
ARODAZILIBATSE,20826,,ARRAB 211 411 309 1 Barra estabilizadora suspensão dianteira (18mm) Kombi tds 14,15
ARODAZILIBATSE,33079,93 259 169,Barra estabilizadora suspensão dianteira (22mm) Chevette/Chevy Junior/Marajó,15
ARODAZILIBATSE,33084,52 285 299,Barra estabilizadora suspensão dianteira (25mm) Opala 80/92 RENAULT,15
ARODAZILIBATSE,21207A,307 411 309 6,Barra estabilizadora suspensão dianteira (18mm) Gol/Parati (94/97) ar Saveiro 94... Gol/Voyage/Parati Saveiro 82/95,15
ARODAZILIBATSE,22299,,ZBA 411 309 Barra estabilizadora suspensão dianteira (22mm) Passat Quantum até 90 Santana até 90 Variant II,15
ARODAZILIBATSE,33716,90 445 122,Barra estabilizadora suspensão dianteira (18mm) 500 Corsa até 98 tds (exceto Pick-Up/Wagon),15
ARODAZILIBATSE,33715,90 496 095,Barra estabilizadora suspensão dianteira (18mm) Vectra 97...,15
ARODAZILIBATSE,48140,7700 434 927,Barra estabilizadora suspensão dianteira (22mm) Clio 1.0 16v,15
ARODAZILIBATSE,21207B,377 411 409,Barra estabilizadora suspensão dianteira (18mm) Gol 1.6/1.8 até Gol G3 1.0 16v,15
ARODAZILIBATSE,22368,,6K5 411 309 Barra estabilizadora suspensão dianteira (20mm) Polo até 98,15
ARODAZILIBATSE,33716A,93 289 848,Barra estabilizadora suspensão dianteira (21mm) Corsa Pick-Up/Wagon até 98 MERCEDES BENZ VOLKSWAGEN,15
ARODAZILIBATSE,21207C,377 411 409,"A Barra estabilizadora suspensão dianteira (19,5mm) 00 Gol G3 2.0 16v 01...",15
ARODAZILIBATSE,22299A,855 411 309,A Barra estabilizadora suspensão dianteira (22mm) Santana/Quantum 91...,15
ARODAZILIBATSE,33983,90 182 708,Barra estabilizadora suspensão dianteira (16mm) Ipanema 89... Kadett 89… (direção mecânica),15
ARODAZILIBATSE,39078A,168 326 1865,Barra estabilizadora suspensão dianteira Classe A,15
ARODAZILIBATSE,43688,542 411 309,Barra estabilizadora suspensão dianteira (22mm) Apollo tds,15
ARODAZILIBATSE,22369,,1HO 411 309 C Barra estabilizadora suspensão dianteira (20mm) Golf,15
ARODAZILIBATSE,20825,113 411 309 1,Barra estabilizadora suspensão dianteira (12mm) Sedan 1200/1300 (11),15
ARODAZILIBATSE,33982,52 256 848,Barra estabilizadora suspensão dianteira (18mm) Ipanema 89… Kadett 89... Monza 82… (direção hidráulica) PEUGEOT,15
ARODAZILIBATSE,22056,,5Z0 411 305 A Barra estabilizadora suspensão dianteira Fox 03...,15
ARODAZILIBATSE,43688C,547 311 309,A Barra estabilizadora suspensão dianteira (16mm) Logus/Pointer,15
ARODAZILIBATSE,20825A,131 411 309 1,Barra estabilizadora suspensão dianteira (12mm) Sedan 1300/1300L 1500/1600 Brasilia/Variant,15
BATENTE,68074,,1JO 412 303 Batente amortecedor dianteiro (celasto) A3 - 01...,16
BATENTE,68076A,,3BO 512 131 H Batente amortecedor traseiro (celasto) A4 - 95/03 A6 - 96/02,16
BATENTE,68094,3353 1136 395,Batente amortecedor traseiro (celasto) Série 3 - 91...,16
BATENTE,68800,,Batente amortecedor dianteiro (celasto) QQ 11...,16
BATENTE,68035A,7 588 036,Batente amortecedor dianteiro (celasto) 145 - 1.8 16v tds,16
